Status,,,,
,Manhwa Name,Chapters,Status,Link 
,Regressed with king’s power,137,ONGOING,https://mangafire.to/manga/regressing-with-the-kings-powerr.np04n
,A flame reborn ,130,ONGOING,https://mangafire.to/manga/a-flame-rebornn.ox5lz
,Investor who sees future ,91,ONGOING,https://mangafire.to/manga/the-investor-who-sees-the-futuree.8xj2y
,God rank civil servant,86,ONGOING,https://comix.to/title/yyqr-the-civil-servant-of-the-sword-returns
,Killer Peter,126,ONGOING,https://mangafire.to/manga/killer-pedroo.6wyw7
,Ian the illegitimate son,110,ONGOING,https://mangafire.to/manga/margraves-bastard-son-was-the-emperorr.xvn8v
,The last adventurer,116,ONGOING,https://mangafire.to/manga/the-last-adventurerr.mv71z
,The dragon slayer peels regression,80,ONGOING,https://mangafire.to/manga/a-dragonslayers-peerless-regression.2pr4q
,The dragonslayer academy’s hotshot,133,ONGOING,https://mangafire.to/manga/yongsa-dongsaengeun-academy-goinmull.1qmjw
,Regressed life of sword clan ignoble,92,ONGOING,https://mangafire.to/manga/regressing-as-the-reincarnated-bastard-of-the-sword-clann.90vp0
,Regressed son of duke is an assassin,120,ONGOING,https://mangafire.to/manga/the-reborn-young-lord-is-an-assassinn.oxpw8
,Indomitable martial king ,129,ONGOING,https://mangafire.to/manga/the-indomitable-martial-kingg.3pzz6
,Chronicles of demon faction,165,ONGOING,https://mangafire.to/manga/chronicles-of-the-demon-factionn.rwm4n
,Reincarnator,129,ONGOING,https://mangafire.to/manga/reincarnator-allaa.xv0ww
,Friend of zenith,103,ONGOING,https://mangafire.to/manga/childhood-friend-of-the-zenithh.1qmnp
,Absolute regression,97,ONGOING,https://mangafire.to/manga/absolute-regressionn.2pmll
,Genius blinker ,92,ONGOING,https://mangafire.to/manga/quick-teleporting-genius-from-magic-schooll.rw10o
,Heavenly grand archive ,175,ONGOING,https://mangafire.to/manga/heavenly-grand-archives-young-masterr.wolq7
,Ultimate tutorial warrior ,86,ONGOING,https://mangafire.to/manga/warrior-kim-builds-up-his-characteristicss.42n77
,the devil never cries ,151,ONGOING,https://mangafire.to/manga/wo-jinhua-emoo.qk45v
,Reborn as the heavenly demon ,118,ONGOING,https://mangafire.to/manga/reincarnated-heavenly-demonn.72lz7
,Previous life Murim ranker,198,ONGOING,https://mangafire.to/manga/reincarnation-of-the-murim-clans-former-rankerr.rj8pn
, A villain way to survive,52,ONGOING,https://mangafire.to/manga/the-villain-wants-to-live.0m2x5
,absolute sword sense ,179,ONGOING,https://mangafire.to/manga/jeoldaegeomgamm.n3xvk
,Doctor rebirth ,232,ONGOING,https://mangafire.to/manga/uiwon-dasi-salda22.nr15l
,reborn as the enemy prince ,109,ONGOING,https://mangafire.to/manga/reborn-as-the-enemy-princee.k3869
, Sichuan Tang clan sword master,117,ONGOING,https://mangafire.to/manga/becoming-the-sacheon-dangs-swordsmaster-rank-young-lordd.3pz46
,Modern man in murim,178,ONGOING,https://mangafire.to/manga/a-modern-man-who-got-transmigrated-into-the-murim-worldd.7wn3y
,Superhuman era ,231,ONGOING,https://mangafire.to/manga/superhuman-eraa.37ljr
,Sashimi ,76,ONGOING,https://mangafire.to/manga/chewing-the-academy-with-a-single-piece-of-sashimii.npqvk
,Legends of swordsman scholar ,199,ONGOING,https://mangafire.to/manga/records-of-the-swordsman-scholarr.8nokn
,Fox eyed villian of demon academy ,60,ONGOING,https://mangafire.to/manga/the-fox-eyed-villain-of-the-demon-academy.vq517
,the Childe ,80,ONGOING,http://mangafire.to/manga/the-noblee.jp4p3
,Special civil servant ,65,ONGOING,https://mangafire.to/manga/special-civil-servantt.zxpn2
,the return of mythical archmage ,100,ONGOING,https://comix.to/title/x27q-the-return-of-the-mythical-archmage
,I will raise this family to greatness,67,ONGOING,https://mangafire.to/manga/i-will-raise-this-family-to-greatness.lxlwz
,legendary hero is academy honour student,81,ONGOING,https://mangafire.to/manga/the-legendary-hero-is-an-academy-honors-student.pp3yx
,Star embracing swordmaster,119,ONGOING,https://mangafire.to/manga/star-embracing-swordmasterr.w5y8k
,Tyrant of a defence game,176,ONGOING,https://mangafire.to/manga/i-became-the-tyrant-of-a-defense-gamee.kwnyw
,Bad born blood ,82,ONGOING,https://mangafire.to/manga/bad-born-blood.lrzpn
,Illegitimate who devours weapons,83,ONGOING,https://mangafire.to/manga/weapon-eating-bastard.vqvx6
,Eternally regressing knight ,106,ONGOING,https://mangafire.to/manga/eternally-regressing-knightt.1q50p
,LATNA SAGA,286,ONGOING,https://mangafire.to/manga/igye-geomwang-saengjongi22.l3z86
,Making of Miraculous Doctor,244,ONGOING,https://mangafire.to/manga/da-yi-lingrann.7j698
,Heavenly demon wants a quiet life ,77,ONGOING,https://mangafire.to/manga/the-heavenly-demon-wants-a-quiet-life.rw59p
,Talented player ,114,ONGOING,https://mangafire.to/manga/a-talented-playerr.qn91j
,Ex class Hunter,75,ONGOING,https://mangafire.to/manga/ore-wa-ex-kyuu-hantaudaa.3pv2y
,maxed strength necromancer ,107,ONGOING,https://mangafire.to/manga/li-liang-dian-man-wo-keshi-wangling-fashi-aa.9042n
,The Outcast Is Too Good at Martial Arts,153,ONGOING,https://mangafire.to/manga/the-outcast-is-too-good-at-martial-artss.np3jl
,I am Strongest Trancendant ,95,ONGOING,https://mangafire.to/manga/ore-dake-saikyou-chouetsusha-zen-sekai-no-cheat-shishou-ni-mitomeraretaa.3p5qr
,Ranker’s return ,240,ONGOING,https://mangafire.to/manga/rankers-returnn.zl8zp
,magic level 9999990000,152,ONGOING,https://mangafire.to/manga/maryoku-9999-man-zen-zokusei-tsukai-no-dai-kenjaa.qk4wn
,Cosmic heavenly demon,86,ONGOING,https://mangafire.to/manga/space-heavenly-demon-30777.ppv29
,Genius bastard of noble dark clan ,51,ONGOING,https://mangafire.to/manga/i-became-the-genius-bastard-of-a-noble-dark-clan.17rwq
,I became a sales genius ,90,ONGOING,https://mangafire.to/manga/i-became-a-genius-in-saless.0q4x3
,Return of genius sword master ,72,ONGOING,https://mangafire.to/manga/kaettekita-tensai-kensei-maryoku-zero-no-ochikoborenanoni-jitsuwa-saikyou.xvkyz
,Legendary Son of Marquis,160,ONGOING,https://mangafire.to/manga/legendary-youngest-son-of-the-marquis-housee.1nz8q
,absolute dominion,86,ONGOING,https://mangafire.to/manga/absolute-reignn.59onj
,Genius SwordsMan of Mount Hua,58,ONGOING,https://mangafire.to/manga/mount-hua-sects-genius-phantom-swordsman.lxp4m
,Reincarnated Escort Warrior,149,ONGOING,https://mangafire.to/manga/reincarnated-escort-warriorr.3p906
,Necomancer family young heir,64,ONGOING,https://mangafire.to/manga/the-necromancer-familys-young-heir.70j0j
,Return of apocalypse death knight,66,ONGOING,https://mangafire.to/manga/return-of-the-calamity-class-death-knight.lx133
,Cold blooded warrior,51,ONGOING,https://mangafire.to/manga/the-cold-blooded-warrior.nkkzn
,Third prince regressed,67,ONGOING,https://mangafire.to/manga/the-third-prince-of-the-fallen-kingdom-has-regressed.82253
,I am gonna destroy this country ,72,ONGOING,https://mangafire.to/manga/im-going-to-wipe-out-this-country.9jlqq
,Dark swords man return ,46,ONGOING,https://mangafire.to/manga/the-dark-swordsman-returns.822m3
,The hero starts over,50,ONGOING,https://mangafire.to/manga/the-hero-starts-over-at-the-academy.41jkm
,Screen writer ,90,ONGOING,https://mangafire.to/manga/drama-writer-who-reads-spoilerss.29730
,Zombie papa ,30,ONGOING,https://mangafire.to/manga/zombie-papa2.yjpkp
,Genius blacksmith’s game,47,ONGOING,https://mangafire.to/manga/the-genius-blacksmiths-game.ol308
,The divine demon grand ascension,47,ONGOING,https://mangafire.to/manga/the-great-emperor-shinmadae.nk868
,Reincarnation of fist king,48,ONGOING,https://mangafire.to/manga/reincarnation-of-the-fist-king.kxxl6
,Ducal house mad dog,53,ONGOING,https://mangafire.to/manga/the-mad-dog-of-the-dukes-estate.qzq5n
,Mount hua greatest genius ,77,ONGOING,https://mangafire.to/manga/huashan-sects-greatest-genius-of-all-timee.2p3x4
,Barbarian isekai,53,ONGOING,https://mangafire.to/manga/surviving-as-a-barbarian-in-a-fantasy-world.30xr8
,My very own tower guide ,113,ONGOING,https://mangafire.to/manga/my-very-own-tower-strategy-guidee.6w7vz
